EpThisIter,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,AI_return,EpRewMean,loss_ent,AI_distance,loss_kl,EpisodesSoFar,EpLenMean,AI_success_rate,ev_tdlam_before,loss_vf_loss,TimeElapsed
8,-0.014085087,93989,0.0,-6552.4888384176365,-5026.436397277614,5.546682,17.30835875529214,0.005943186,197,421.76,0.0,0.007542014122009277,45389.008,215.46110105514526
4,-0.01672545,95664,0.0,-6506.809100823333,-5086.415688627557,5.563583,17.322462940012226,0.006065722,201,403.45,0.0,0.0038109421730041504,73393.61,220.1013581752777
7,-0.01515715,98014,0.0,-6436.880951562315,-4870.047449009652,5.5317187,17.282837789352598,0.005798402,208,376.57,0.0,0.0093841552734375,92714.734,224.74224710464478
5,-0.017288398,100228,0.0,-6382.8639730882915,-4811.570549365878,5.5421243,17.282270085249298,0.0068781585,213,365.2,0.0,0.004332840442657471,82747.766,229.43578505516052
8,-0.018056367,102254,0.0,-6193.6783978384365,-4293.135367088378,5.5625453,17.17417987152127,0.007417813,221,350.33,0.0,0.0037859082221984863,61994.465,234.12042474746704
7,-0.016980588,104280,0.0,-6161.540962659154,-4014.1469418298207,5.601457,17.179243785149357,0.0058184033,228,321.71,0.0,0.009308159351348877,165554.42,238.74003911018372
6,-0.019062664,106252,0.0,-6144.185841756248,-3938.9885472384053,5.624628,17.123387980320647,0.0064917565,234,318.7,0.0,0.008841931819915771,121050.336,243.3583619594574
7,-0.015793754,108310,0.0,-6028.655790307282,-3639.4306847926277,5.6401725,17.10798651065308,0.0050245496,241,317.09,0.0,0.004599630832672119,59253.45,248.0548312664032
11,-0.017236337,110246,0.0,-5787.396306758572,-3458.280741143253,5.636582,16.921328761784864,0.008065598,252,304.46,0.0,0.0008059144020080566,63646.625,252.732754945755
8,-0.017953984,112475,0.0,-5659.2126045011555,-3197.1431695211054,5.6613173,16.82931077172953,0.0065805544,260,305.22,0.0,0.010329008102416992,38232.84,257.5346086025238
7,-0.017069034,114216,0.0,-5577.9536647563555,-2915.8804658586973,5.68195,16.76063523679892,0.006034624,267,285.35,0.0,0.015263974666595459,58095.555,262.1914677619934
7,-0.017639903,116624,0.0,-5528.775817034684,-2953.4611352127367,5.680904,16.66384923342792,0.0074686683,274,285.19,0.0,0.007988274097442627,80068.16,266.8179302215576
9,-0.01715664,118458,0.0,-5457.189643859011,-2880.1919407067344,5.667299,16.64295823457062,0.00721114,283,279.26,0.0,0.024862587451934814,90771.51,271.55405592918396
6,-0.019721419,120556,0.0,-5387.508187423038,-2813.410837618506,5.662049,16.58322939925635,0.007215484,289,285.15,0.0,0.004280686378479004,37824.188,276.2946746349335
5,-0.01798379,122763,0.0,-5393.9747708733175,-2980.2033928727747,5.6549973,16.663578559226945,0.007510919,294,291.27,0.0,0.01436305046081543,96268.234,280.8835895061493
4,-0.01506308,124918,0.0,-5351.659999062268,-2985.9425045119806,5.6515145,16.64906648601537,0.007596897,298,299.65,0.0,0.004151344299316406,51987.535,285.5296652317047
4,-0.014207737,126792,0.0,-5337.9097565204775,-3003.386873944435,5.6583247,16.636791979526222,0.006206465,302,303.15,0.0,0.011703193187713623,43321.55,290.14338207244873
5,-0.015092435,128472,0.0,-5319.246531284199,-2953.819649655839,5.649063,16.652129749090633,0.0053225127,307,306.19,0.0,0.008964180946350098,72134.4,294.85193705558777
7,-0.017925676,130686,0.0,-5268.588909384035,-2963.196895029658,5.668757,16.595453396330313,0.007877518,314,301.47,0.0,0.007114112377166748,81110.695,299.5035696029663
3,-0.015975447,132516,0.0,-5226.356787130955,-2984.67404108586,5.6671147,16.51995590321791,0.006008527,317,316.39,0.0,0.0022242069244384766,90664.086,304.13574719429016
2,-0.01733607,134941,0.0,-5250.096514207829,-3095.918467778629,5.6489663,16.521424499307752,0.0068637156,319,336.43,0.0,0.0013539791107177734,132567.33,308.75515961647034
6,-0.014898779,137019,0.0,-5192.58251623571,-3028.0307055733747,5.664827,16.463280156748468,0.0063622217,325,336.85,0.0,0.002968132495880127,76228.03,313.4093072414398
4,-0.015409257,139216,0.0,-5141.91718819671,-2780.2338684378365,5.645828,16.408852744538795,0.0058763144,329,343.24,0.0,0.0017729401588439941,78563.34,318.02844738960266
5,-0.02076316,141267,0.0,-5067.91588314364,-2549.4441799901365,5.6618457,16.322600230698864,0.006886876,334,350.15,0.0,0.00031512975692749023,162447.08,322.6462686061859
4,-0.015367978,142627,0.0,-5084.328220453866,-2713.671771139249,5.675242,16.315687130742823,0.0060235723,338,353.0,0.0,0.008047938346862793,99179.95,327.2718291282654
4,-0.01570201,144736,0.0,-5082.561277538391,-2875.5991871803267,5.7074723,16.32554349394384,0.0055168862,342,360.83,0.0,0.006723761558532715,93139.695,331.89113330841064
5,-0.01920658,147428,0.0,-5121.278238382451,-3271.233718116078,5.7158103,16.359713987900975,0.0072217523,347,377.61,0.0,0.1776871681213379,112181.16,336.5320270061493
3,-0.017677268,149347,0.0,-5097.559259696988,-3268.2774120688323,5.7309113,16.326361987252945,0.006242627,350,392.07,0.0,0.44054341316223145,57530.867,341.2371172904968
2,-0.014238262,150788,0.0,-5128.951092270636,-3469.6691517610348,5.7275944,16.336702126919622,0.004802183,352,405.42,0.0,0.45128756761550903,107907.41,345.8756585121155
4,-0.019426532,153099,0.0,-5186.236817935851,-3823.8665840754215,5.740127,16.3578622635606,0.0055979644,356,413.56,0.0,0.0019749999046325684,167165.86,350.5337691307068
3,-0.015400916,155539,0.0,-5188.323939869405,-3921.971517715328,5.74646,16.34605941639835,0.0071574994,359,431.65,0.0,-0.20741450786590576,97653.8,355.1632697582245
2,-0.014148962,157212,0.0,-5159.120134081074,-3916.3938718362624,5.709976,16.296400132629046,0.005741042,361,445.08,0.0,0.42487311363220215,42045.812,359.7874825000763
4,-0.014233202,159592,0.0,-5161.840181339224,-4040.591903446972,5.707703,16.281180291988772,0.00452588,365,461.38,0.0,-0.030757665634155273,134922.5,364.4088521003723
4,-0.019289657,161572,0.0,-5208.367519056518,-4237.588579626075,5.6795697,16.321660551265694,0.0068613887,369,460.79,0.0,0.004821479320526123,118739.34,369.0248153209686
