EpisodesSoFar,AI_success_rate,EpRewMean,AI_distance,loss_vf_loss,TimestepsSoFar,loss_ent,EpLenMean,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,AI_return,loss_pol_surr,EpThisIter
614,0.0016286644951140066,-829.3568285974886,14.733423059198753,88335.234,257855,5.2725825,414.21,579.4194221496582,0.0050463094,0.0,0.6623080670833588,-3355.2391280731945,-0.016959988,6
618,0.0016181229773462784,-895.253468140845,14.68008729396396,43801.332,259592,5.2605147,414.96,583.9801862239838,0.0070929853,0.0,0.7739014029502869,-3328.6535545276374,-0.016097367,4
625,0.0016,-1013.2655965983862,14.677216570370993,26323.121,261946,5.2611547,404.65,588.536288022995,0.004170783,0.0,0.7383179366588593,-3305.591063826596,-0.015693087,7
630,0.0015873015873015873,-1319.8907768585298,14.682803439210005,54039.973,264180,5.296097,396.19,593.091144323349,0.0058957287,0.0,0.12295746803283691,-3310.5594818562386,-0.014086273,5
635,0.0015748031496062992,-1343.4514629746147,14.70827737997699,109983.695,266185,5.2899737,385.53,597.6737525463104,0.0051513608,0.0,0.5953031480312347,-3312.373942674151,-0.014948202,5
644,0.0015527950310559005,-1354.947828716219,14.730336892813465,105549.11,268211,5.304439,372.56,602.2343208789825,0.004383452,0.0,0.7032801508903503,-3302.024809108166,-0.012985904,9
649,0.0015408320493066256,-1642.6410918361041,14.73306944305972,136149.02,270253,5.3228145,363.11,606.7786893844604,0.003802549,0.0,0.5431177318096161,-3310.8158209131843,-0.012882814,5
652,0.0015337423312883436,-1699.0957923896851,14.72924456625572,98597.87,271951,5.354528,372.36,611.2510321140289,0.005608063,0.0,0.6978309750556946,-3313.54911299867,-0.014223345,3
657,0.0015220700152207,-1769.8215358174482,14.686576739676125,124704.375,274168,5.360001,369.18,615.7442052364349,0.003999682,0.0,0.6592669188976288,-3294.759204058917,-0.015596612,5
664,0.0015060240963855422,-1831.5954297618428,14.679566985448915,103043.94,276415,5.36146,370.51,620.2719368934631,0.0050192224,0.0,0.4738783836364746,-3289.050056351592,-0.015192056,7
669,0.0014947683109118087,-1784.3879966990023,14.636337080324559,22400.9,278458,5.366709,358.89,624.9902787208557,0.0053925384,0.0,0.7726360559463501,-3268.599371072708,-0.014921192,5
674,0.001483679525222552,-1718.1209471054324,14.61488626617235,24977.34,280441,5.3607802,364.43,629.6516201496124,0.0041392483,0.0,0.7492645382881165,-3254.8197127246453,-0.013308357,5
679,0.0014727540500736377,-1562.2707524352843,14.591338435259267,37063.67,282087,5.338806,368.31,634.3077771663666,0.0047498886,0.0,0.5369741320610046,-3233.977130173043,-0.014653444,5
685,0.00145985401459854,-2046.3922691372093,14.618448065010371,164252.14,284517,5.352361,372.49,638.8552143573761,0.0043798033,0.0,0.4715043306350708,-3255.0200434443195,-0.018437734,6
688,0.0014534883720930232,-2046.9663173389476,14.62180868670066,63723.297,286047,5.358999,377.59,643.4483461380005,0.0052725417,0.0,0.11476755142211914,-3255.6352168274266,-0.016313784,3
